classnum blue green red nir swir1 swir2 BUI BSI NBI EVI NDWI MSAVI sdev edev bcdev
112.0000 608.5279 843.0578 1203.8386 2205.0976 3444.6135 2500.5618 -0.0751 0.2459 2.1115 0.1688 -0.4468 0.1559 0.0009 0.0448 0.0451
112.0000 604.7476 847.3249 1114.7692 2385.3603 2915.9562 2209.4394 -0.2629 0.1481 1.6922 0.2185 -0.4756 0.1988 0.0011 0.0486 0.0490
112.0000 605.1303 866.2671 1136.1531 2476.2378 3042.4104 2109.6319 -0.2697 0.1506 1.6888 0.2272 -0.4820 0.2084 0.0008 0.0465 0.0495
112.0000 592.8937 857.3813 1136.9710 2330.5639 2684.2814 1977.4973 -0.2742 0.1327 1.6407 0.2030 -0.4621 0.1866 0.0013 0.0554 0.0598
112.0000 612.8998 911.1360 1215.3208 2432.2438 2840.0891 2034.7700 -0.2562 0.1417 1.6732 0.2011 -0.4542 0.1873 0.0019 0.0694 0.0715
112.0000 672.5090 967.6760 1273.6496 2449.8005 3071.8824 2358.4672 -0.2036 0.1635 1.7753 0.1954 -0.4337 0.1795 0.0010 0.0552 0.0547
111.0000 486.6684 740.6960 896.3305 2857.7775 2498.7044 1378.9449 -0.5907 0.0063 1.1918 0.3364 -0.5880 0.3114 0.0037 0.0592 0.0643
112.0000 567.7155 809.3012 1044.0987 2522.4055 3081.5005 1891.7370 -0.3145 0.1433 1.6399 0.2543 -0.5138 0.2324 0.0011 0.0495 0.0517
112.0000 593.3696 902.6372 1269.4467 2693.0726 3004.6825 1894.8821 -0.3050 0.1304 1.5877 0.2245 -0.4979 0.2152 0.0006 0.0410 0.0420
112.0000 466.0903 712.7002 859.9171 2773.1834 2251.6350 1222.8752 -0.6308 -0.0207 1.1237 0.3315 -0.5910 0.3067 0.0026 0.0480 0.0618
112.0000 472.9130 698.5062 870.2822 2605.8417 2432.3163 1363.1181 -0.5347 0.0339 1.2707 0.3040 -0.5770 0.2796 0.0019 0.0461 0.0568
112.0000 592.6636 902.7888 1215.5958 2696.3194 2786.9296 1670.8670 -0.3643 0.0963 1.4855 0.2385 -0.4987 0.2257 0.0015 0.0646 0.0684
112.0000 689.2025 1027.1737 1424.1090 2603.8902 3227.4182 2304.1900 -0.1865 0.1704 1.7903 0.1848 -0.4339 0.1755 0.0026 0.0619 0.0556
112.0000 626.8931 926.0541 1259.9680 2580.8420 3165.3694 1966.6245 -0.2422 0.1594 1.7177 0.2138 -0.4717 0.2008 0.0010 0.0495 0.0502
112.0000 627.6296 893.7119 1176.9890 2429.3114 3062.6914 2236.1070 -0.2319 0.1620 1.7485 0.2117 -0.4618 0.1938 0.0006 0.0513 0.0520
112.0000 655.4668 953.8638 1316.2807 2271.8339 3185.2076 2482.8953 -0.0988 0.2117 1.9869 0.1566 -0.4082 0.1461 0.0008 0.0497 0.0496
111.0000 464.1481 720.2573 925.9449 2836.3265 2785.6703 1706.0454 -0.5174 0.0582 1.3102 0.3205 -0.5950 0.3020 0.0020 0.0427 0.0440
111.0000 697.3934 961.4235 1519.4126 2431.6612 3558.8443 3198.0246 -0.0438 0.2369 2.0890 0.1400 -0.4336 0.1351 0.0023 0.0662 0.0560
111.0000 718.1455 1094.6121 1543.2101 2895.8788 3391.4970 2110.1838 -0.2251 0.1546 1.7076 0.2015 -0.4509 0.1954 0.0036 0.0777 0.0653
