# crop nbart_red nbart_nir NDVI SOS POS EOS Trough vSOS vPOS vEOS LOS AOS ROG ROS
1.000000 732.865112 2632.232178 0.564432 6.000000 118.000000 230.000000 0.441106 0.558988 0.736751 0.513632 224.000000 0.295645 0.001587 -0.001992
1.000000 732.865112 2632.232178 0.564432 6.000000 118.000000 230.000000 0.441106 0.558988 0.736751 0.513632 224.000000 0.295645 0.001587 -0.001992
1.000000 852.446655 2284.839844 0.456571 6.000000 118.000000 214.000000 0.335976 0.470755 0.650284 0.458679 208.000000 0.314308 0.001603 -0.001996
1.000000 969.060974 2502.693115 0.441746 6.000000 118.000000 214.000000 0.325049 0.461743 0.642099 0.434250 208.000000 0.317050 0.001610 -0.002165
1.000000 916.071106 2622.681396 0.482263 6.000000 118.000000 342.000000 0.374504 0.482579 0.653530 0.443678 336.000000 0.279026 0.001526 -0.000937
1.000000 832.994141 2552.786377 0.507946 6.000000 118.000000 246.000000 0.404895 0.496960 0.634276 0.468741 240.000000 0.229380 0.001226 -0.001293
1.000000 776.906860 2555.431396 0.533717 6.000000 118.000000 342.000000 0.428652 0.550104 0.734503 0.497201 336.000000 0.305851 0.001646 -0.001059
1.000000 794.537231 2990.401367 0.580158 6.000000 118.000000 230.000000 0.420807 0.541362 0.713233 0.492415 224.000000 0.292426 0.001535 -0.001972
1.000000 710.888550 2963.644287 0.613073 6.000000 118.000000 246.000000 0.444693 0.557712 0.732964 0.499788 240.000000 0.288271 0.001565 -0.001822
1.000000 817.417725 2491.936523 0.505996 6.000000 118.000000 342.000000 0.394639 0.503231 0.662086 0.462509 336.000000 0.267447 0.001418 -0.000891
1.000000 744.387329 2325.252441 0.515000 6.000000 118.000000 246.000000 0.421384 0.519336 0.670323 0.479698 240.000000 0.248939 0.001348 -0.001489
1.000000 713.235657 2452.174805 0.549357 6.000000 118.000000 246.000000 0.433974 0.534138 0.671958 0.492077 240.000000 0.237984 0.001231 -0.001405
1.000000 734.551392 2661.777344 0.567444 6.000000 118.000000 342.000000 0.432740 0.548238 0.725217 0.490334 336.000000 0.292477 0.001580 -0.001049
1.000000 748.533997 3123.320801 0.613346 6.000000 118.000000 246.000000 0.458675 0.561939 0.736133 0.502140 240.000000 0.277457 0.001555 -0.001828
1.000000 792.344421 3028.633789 0.585266 6.000000 118.000000 246.000000 0.433910 0.548441 0.729409 0.522254 240.000000 0.295498 0.001616 -0.001618
1.000000 653.067566 2305.231934 0.558484 6.000000 118.000000 246.000000 0.435806 0.554921 0.703549 0.505707 240.000000 0.267743 0.001327 -0.001546
1.000000 666.598022 2290.831543 0.549204 6.000000 118.000000 342.000000 0.439315 0.546379 0.696471 0.491454 336.000000 0.257156 0.001340 -0.000915
1.000000 810.334351 2598.434570 0.524559 6.000000 118.000000 246.000000 0.412763 0.537240 0.736614 0.491323 240.000000 0.323850 0.001780 -0.001916
1.000000 672.613403 2699.438232 0.601066 6.000000 118.000000 342.000000 0.375000 0.599699 0.744774 0.553692 336.000000 0.369774 0.001295 -0.000853
1.000000 708.144653 2637.213135 0.576640 6.000000 118.000000 342.000000 0.404022 0.574596 0.745489 0.525557 336.000000 0.341467 0.001526 -0.000982
1.000000 727.008606 2442.976807 0.541317 6.000000 118.000000 230.000000 0.421399 0.542460 0.749922 0.496152 224.000000 0.328523 0.001852 -0.002266
1.000000 735.510742 2483.790283 0.543062 6.000000 118.000000 246.000000 0.441637 0.545975 0.731361 0.490607 240.000000 0.289724 0.001655 -0.001881
1.000000 778.999878 2865.000244 0.572448 6.000000 118.000000 230.000000 0.450373 0.557017 0.727074 0.489664 224.000000 0.276702 0.001518 -0.002120
1.000000 692.604614 2578.002930 0.576467 6.000000 118.000000 342.000000 0.226897 0.575074 0.770890 0.554543 336.000000 0.543993 0.001748 -0.000966
